epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,76.133,0.27457,0.26791,0.46815,0.87383,0.99429,1,0.995,0.995,0.99429,1,0.995,0.995,0.16801,0.21368,0.43782,0.7418,0.000614,0.000614,0.000614
72,77.1281,0.27457,0.2754,0.47906,0.86058,0.99429,1,0.995,0.995,0.99429,1,0.995,0.995,0.16801,0.21368,0.43782,0.7418,0.0005942,0.0005942,0.0005942
73,78.1207,0.29504,0.25661,0.47212,0.89865,0.99419,1,0.995,0.995,0.99419,1,0.995,0.995,0.17633,0.20985,0.42901,0.73999,0.0005744,0.0005744,0.0005744
74,79.143,0.26651,0.24868,0.51159,0.8605,0.99419,1,0.995,0.995,0.99419,1,0.995,0.995,0.17633,0.20985,0.42901,0.73999,0.0005546,0.0005546,0.0005546
75,80.3052,0.27536,0.25424,0.49151,0.87646,0.99416,1,0.995,0.995,0.99416,1,0.995,0.995,0.17323,0.20725,0.45705,0.73888,0.0005348,0.0005348,0.0005348
76,81.4423,0.26781,0.23939,0.47701,0.86733,0.99416,1,0.995,0.995,0.99416,1,0.995,0.995,0.17323,0.20725,0.45705,0.73888,0.000515,0.000515,0.000515
77,82.546,0.25658,0.26755,0.4611,0.87847,0.99422,1,0.995,0.995,0.99422,1,0.995,0.995,0.18172,0.20751,0.44158,0.73942,0.0004952,0.0004952,0.0004952
78,83.5802,0.24525,0.22468,0.44277,0.83756,0.99422,1,0.995,0.995,0.99422,1,0.995,0.995,0.18172,0.20751,0.44158,0.73942,0.0004754,0.0004754,0.0004754
79,84.6392,0.28992,0.27897,0.4851,0.8943,0.9941,1,0.995,0.995,0.9941,1,0.995,0.995,0.17507,0.20764,0.39482,0.73466,0.0004556,0.0004556,0.0004556
80,85.6441,0.25164,0.26047,0.46476,0.86708,0.9941,1,0.995,0.995,0.9941,1,0.995,0.995,0.17507,0.20764,0.39482,0.73466,0.0004358,0.0004358,0.0004358
81,86.6918,0.2871,0.2666,0.45866,0.89598,0.9941,1,0.995,0.995,0.9941,1,0.995,0.995,0.16221,0.20711,0.35949,0.7263,0.000416,0.000416,0.000416
82,87.6782,0.23759,0.22987,0.43131,0.89972,0.9941,1,0.995,0.995,0.9941,1,0.995,0.995,0.16221,0.20711,0.35949,0.7263,0.0003962,0.0003962,0.0003962
83,88.6882,0.21386,0.19659,0.44101,0.86112,0.9942,1,0.995,0.995,0.9942,1,0.995,0.995,0.15949,0.20691,0.336,0.72126,0.0003764,0.0003764,0.0003764
84,89.6658,0.23119,0.22411,0.4502,0.88312,0.9942,1,0.995,0.995,0.9942,1,0.995,0.995,0.15949,0.20691,0.336,0.72126,0.0003566,0.0003566,0.0003566
85,90.6562,0.25308,0.24785,0.43684,0.85681,0.99417,1,0.995,0.995,0.99417,1,0.995,0.995,0.146,0.20688,0.3484,0.71792,0.0003368,0.0003368,0.0003368
86,91.7321,0.24612,0.24811,0.42149,0.84425,0.99417,1,0.995,0.995,0.99417,1,0.995,0.995,0.146,0.20688,0.3484,0.71792,0.000317,0.000317,0.000317
87,92.7274,0.24487,0.236,0.41643,0.87629,0.99417,1,0.995,0.995,0.99417,1,0.995,0.995,0.13882,0.20607,0.33808,0.71948,0.0002972,0.0002972,0.0002972
88,93.6962,0.22214,0.24253,0.41138,0.85918,0.99417,1,0.995,0.995,0.99417,1,0.995,0.995,0.13882,0.20607,0.33808,0.71948,0.0002774,0.0002774,0.0002774
89,94.7284,0.2156,0.24065,0.41762,0.86776,0.99421,1,0.995,0.995,0.99421,1,0.995,0.995,0.13655,0.20279,0.33305,0.72297,0.0002576,0.0002576,0.0002576
90,95.7071,0.27805,0.37979,0.45524,0.91228,0.99421,1,0.995,0.995,0.99421,1,0.995,0.995,0.13655,0.20279,0.33305,0.72297,0.0002378,0.0002378,0.0002378
91,100.605,0.18025,0.20396,0.83491,0.82233,0.99418,1,0.995,0.995,0.99418,1,0.995,0.995,0.14019,0.20175,0.33827,0.72533,0.000218,0.000218,0.000218
92,101.587,0.17337,0.22057,0.76938,0.74906,0.99418,1,0.995,0.995,0.99418,1,0.995,0.995,0.14019,0.20175,0.33827,0.72533,0.0001982,0.0001982,0.0001982
93,102.592,0.1944,0.20288,0.86841,0.84158,0.99421,1,0.995,0.995,0.99421,1,0.995,0.995,0.14561,0.20173,0.34048,0.72674,0.0001784,0.0001784,0.0001784
94,103.566,0.19725,0.2321,0.75844,0.84368,0.99421,1,0.995,0.995,0.99421,1,0.995,0.995,0.14561,0.20173,0.34048,0.72674,0.0001586,0.0001586,0.0001586
95,104.559,0.17579,0.18125,0.73846,0.7967,0.99421,1,0.995,0.995,0.99421,1,0.995,0.995,0.14516,0.20193,0.37343,0.72842,0.0001388,0.0001388,0.0001388
96,105.528,0.18401,0.18332,0.70954,0.77456,0.99421,1,0.995,0.995,0.99421,1,0.995,0.995,0.14516,0.20193,0.37343,0.72842,0.000119,0.000119,0.000119
97,106.535,0.1664,0.18553,0.70566,0.78223,0.99415,1,0.995,0.995,0.99415,1,0.995,0.995,0.14388,0.20215,0.38485,0.72801,9.92e-05,9.92e-05,9.92e-05
98,107.525,0.1666,0.185,0.68652,0.75941,0.99415,1,0.995,0.995,0.99415,1,0.995,0.995,0.14388,0.20215,0.38485,0.72801,7.94e-05,7.94e-05,7.94e-05
99,108.519,0.16671,0.18218,0.69042,0.79623,0.99422,1,0.995,0.995,0.99422,1,0.995,0.995,0.13949,0.20237,0.38728,0.7257,5.96e-05,5.96e-05,5.96e-05
100,109.5,0.1726,0.18215,0.6999,0.8219,0.99422,1,0.995,0.995,0.99422,1,0.995,0.995,0.13949,0.20237,0.38728,0.7257,3.98e-05,3.98e-05,3.98e-05
